date,max_temp,min_temp
2026-07-07,34.2,22.1
2026-07-08,33.7,20.9
2026-07-09,33.5,22.6
2026-07-10,35.6,21.9
2026-07-11,36.2,22.4
2026-07-12,35.7,22.7
2026-07-13,34.7,22.6
2026-07-14,34.8,21.1
